instance technique highFiBudget lowFiBudget seed dimension CC RRMSE LCC_0.1 LCC_0.2 LCC_0.3 LCC_0.4 LCC_0.5 LCC_0.6 LCC_0.7 LCC_0.8 LCC_0.9 LCC_0.95 LCC_0.975 LCC_sd LCC_coeff performance
COCOfunction13-dim2-seed1-dists1-centres9-radius0.2-freq10-amp0.1 kriging 0 0 1 2 0.9999 0.0006 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.0000 0.0000 nan
COCOfunction13-dim2-seed1-dists2-centres9-radius0.2-freq10-amp0.1 kriging 0 0 1 2 0.9860 0.0241 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9960 0.8450 0.6030 0.2110 0.0397 0.0420 nan
COCOfunction13-dim2-seed1-dists1-centres9-radius0.2-freq100-amp0.1 kriging 0 0 1 2 0.9999 0.0006 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.0001 0.0001 nan
COCOfunction13-dim2-seed1-dists2-centres9-radius0.2-freq100-amp0.1 kriging 0 0 1 2 0.9848 0.0246 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9965 0.8040 0.4985 0.1585 0.0415 0.0443 nan
COCOfunction13-dim2-seed1-dists1-centres9-radius0.2-freq10-amp0.5 kriging 0 0 1 2 0.9997 0.0031 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.0014 0.0014 nan
COCOfunction13-dim2-seed1-dists2-centres9-radius0.2-freq10-amp0.5 kriging 0 0 1 2 0.7282 0.1209 0.9980 0.9740 0.8130 0.6375 0.4635 0.2460 0.1470 0.0915 0.0370 0.0130 0.0015 0.1948 0.3980 nan
COCOfunction13-dim2-seed1-dists1-centres9-radius0.2-freq100-amp0.5 kriging 0 0 1 2 0.9996 0.0034 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9975 0.0026 0.0026 nan
COCOfunction13-dim2-seed1-dists2-centres9-radius0.2-freq100-amp0.5 kriging 0 0 1 2 0.7260 0.1232 1.0000 0.9550 0.7440 0.5580 0.3715 0.1640 0.1030 0.0570 0.0205 0.0020 0.0000 0.1821 0.4074 nan
COCOfunction13-dim2-seed1-dists1-centres9-radius0.2-freq10-amp1 kriging 0 0 1 2 0.9989 0.0063 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9965 0.9820 0.0061 0.0061 nan
COCOfunction13-dim2-seed1-dists2-centres9-radius0.2-freq10-amp1 kriging 0 0 1 2 0.3852 0.2418 0.7620 0.4525 0.2445 0.1485 0.1130 0.0795 0.0500 0.0200 0.0025 0.0000 0.0000 0.1912 0.8053 nan
COCOfunction13-dim2-seed1-dists1-centres9-radius0.2-freq100-amp1 kriging 0 0 1 2 0.9987 0.0069 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9980 0.9885 0.9670 0.0100 0.0100 nan
COCOfunction13-dim2-seed1-dists2-centres9-radius0.2-freq100-amp1 kriging 0 0 1 2 0.4037 0.2464 0.7345 0.3820 0.1495 0.0960 0.0570 0.0355 0.0190 0.0055 0.0000 0.0000 0.0000 0.1474 0.7399 nan
